entrezgene
1978
5756
11344
25
31
32
10188
47
48
52
2180
60
87
118
132
154
185
207
238
240
861
864
5562
5563
301
302
324
351
367
473
8289
409
4217
445
5471
1386
472
545
6790
9212
6795
552
558
4605
572
596
9774
613
624
640
29760
659
660
672
675
6046
5753
84446
695
1050
790
800
8536
57118
815
814
84254
857
867
5788
8317
993
988
983
1017
1019
1020
1021
1022
1025
8558
728642
51755
6792
1026
1072
1111
11200
1128
1457
1195
1269
1073
2697
1326
4513
1385
1387
1399
1808
1410
1445
1495
1499
1523
84152
780
4921
8788
5591
1788
79930
4985
1806
1843
1859
8445
1915
1938
1956
9451
1975
1981
2002
27436
1948
2023
2026
2033
2041
1969
2042
2047
2048
2049
2050
2099
2064
55914
2065
2066
2077
5595
5594
6300
5598
2101
23344
2113
2120
2146
7430
5747
2194
2203
8789
2241
2242
2260
2263
2261
2268
2322
1436
2353
221937
3607
2305
2308
2309
8061
2444
27148
2534
2539
2549
2550
2623
2625
57459
2645
2729
440275
2670
28964
2890
2891
84803
156
2931
2932
2962
2969
2987
2997
2998
3014
8349
3020
10767
51759
3054
9759
5778
9448
9146
204851
3159
3146
3156
3157
3172
3265
27102
3297
3315
3326
51495
3064
22858
3417
3480
4792
4794
1147
9641
8517
10320
3611
3643
3676
3654
51135
3661
3667
3702
50618
55677
3716
3717
3718
5599
5601
3725
11183
3815
58508
4986
3845
8844
283455
3751
9113
3932
11168
3984
6794
22853
6793
120892
1241
4058
4067
4117
4133
9261
7867
8550
4139
4140
4143
4155
4171
4193
4205
4208
4209
5604
5607
9833
10461
4233
4286
5606
6416
5608
5609
4296
4297
5891
4191
4342
4352
10398
2956
8986
9252
4485
8428
2475
4593
4609
4654
4661
6326
4683
8202
11329
4751
10783
140609
4763
4771
4773
4776
10725
5970
4791
4790
51701
2902
2903
9221
4842
4843
4846
2904
2551
4953
5007
130497
5028
1432
5600
5603
6198
6199
7161
5053
5058
5062
10298
57144
5829
5076
55872
55193
5105
5127
5128
5130
9468
5156
5159
5163
10611
5175
5209
5211
5214
5216
5230
23239
5290
5295
5296
11040
65018
200576
5578
5579
5580
5582
5583
5588
5590
5310
5311
5592
5315
5585
10887
5331
5333
51196
5335
5336
5347
10733
5451
5468
8496
5499
5500
5502
6992
4659
4660
26472
84988
5515
5516
5524
5528
5529
5536
5537
56672
5587
5613
10419
8899
1742
5728
5770
5771
5774
5777
5781
5782
11099
26191
25930
5786
5787
5791
5792
5796
5797
284119
6688
2185
369
673
5894
5914
5925
23543
7936
5971
5979
8787
83732
55781
8737
8767
6093
9475
4486
4920
6095
6098
6194
6195
6196
6256
6304
57410
29072
157285
79834
9646
6464
3635
3636
150094
23235
23387
27240
9748
4086
4087
4089
6597
6598
8243
23049
6622
27044
6625
30837
6671
6829
6714
6722
6732
6749
6752
10735
10254
6772
6773
6774
6775
6776
6778
27347
112755
6850
6853
6885
57551
23435
4137
51256
29110
6915
7006
100124696
7013
7052
7054
9967
7010
7094
8711
7157
7166
7201
10155
51592
4914
4915
4916
7248
81629
7272
7294
7297
7301
7343
7358
79012
7409
2321
3791
2324
7428
7431
7454
7465
65125
7490
10413
7525
56252
10494
7535
84959
